index,sfdc_tier,poc_image,segment,sub_segment,Brand,Pack_Type,GTO_2019,Volume_2019 Product,province,price,returnability,norm,OnInvoice Discount(LCU),label
73,2.0,1,3,5,17,0,4.64736723468788,-0.21072103131565253,10,128.78,1,17.435595774162696,3.687878953780353,0
74,2.0,1,3,5,17,0,5.445874930905651,0.5877866649021191,10,128.78,1,17.435595774162696,4.486386649998125,0
82,1.0,1,0,0,2,0,4.90453376321371,-1.2039728043259361,0,449.67,1,2.6457513110645907,3.609294974771094,2
83,1.0,1,0,0,11,0,2.9796028916241073,-2.8134107167600364,0,328.0,1,11.135528725660043,2.0731719286662407,0
84,1.0,1,0,0,11,0,4.979213424087916,-0.7339691750802004,0,302.83,1,11.135528725660043,3.858411235979497,0
85,1.0,1,0,0,13,0,6.171408279115973,0.3220834991691132,0,347.0,1,13.114877048604,5.396215104824496,0
86,1.0,1,0,0,13,0,7.265149963845218,1.5810384379124025,0,294.16,1,13.114877048604,6.508396489305733,0
87,1.0,1,0,0,16,0,6.826859707723823,0.8641549774536266,0,388.66,1,16.09347693943108,5.801151140384475,0
88,1.0,1,0,0,16,0,6.826859707723823,0.8641549774536266,0,388.66,1,16.09347693943108,5.764093321760303,0
89,1.0,1,0,0,22,0,6.491026978595262,0.4593217808988752,0,416.42,1,22.06807649071391,5.445961208460599,0
98,1.0,1,3,5,13,0,5.067960360715525,-0.616186139423817,2,294.17,1,13.45362404707371,2.6741486494265287,0
104,2.0,1,3,5,13,0,3.7290612437467683,-2.120263536200091,2,347.0,1,13.564659966250536,1.8164520818184267,0
105,2.0,1,3,5,13,0,4.816645932434619,-0.8675005677047231,2,294.17,1,13.564659966250536,2.8284963541780774,0
106,2.0,1,3,5,13,3,5.045745004543015,-0.5108256237659907,2,258.93,1,13.892443989449804,3.051166980442092,0
107,2.0,1,3,5,16,3,6.497860373794587,0.5877866649021191,2,368.73,1,16.73320053068151,4.509760001183433,0
108,2.0,1,3,5,16,3,6.652011053621845,0.7419373447293773,2,368.73,1,16.73320053068151,4.663910681010692,0
109,1.0,1,1,3,21,0,2.8419981736119486,-2.8134107167600364,3,285.83,1,21.095023109728988,0.85015092936961,0
110,1.0,1,1,3,22,0,3.495294705041271,-2.5383074265151158,3,417.22,1,22.090722034374522,0.5128236264286637,0
113,1.0,1,0,0,21,3,6.114190899969719,0.5306282510621704,3,266.02,1,21.283796653792763,4.122445992332976,0
127,2.0,1,0,0,2,0,3.9963641538618973,-2.120263536200091,10,453.33,1,3.1622776601683795,2.165619237920888,2
128,2.0,1,0,0,11,0,2.8997718824080807,-2.8134107167600364,10,302.83,1,11.269427669584644,1.0402767116551463,0
129,2.0,1,0,0,13,0,3.035914063186823,-2.8134107167600364,10,347.0,1,13.228756555322953,1.247032293786383,0
130,2.0,1,0,0,21,0,5.039222750948168,-0.616186139423817,10,285.83,1,21.142374511865974,3.173878458937465,0
131,2.0,1,0,0,11,3,4.442651256490317,-1.2039728043259363,10,283.33,1,11.661903789690601,2.5817308344235403,0
132,2.0,1,0,0,21,3,8.48359297364528,2.917770732084279,10,261.34,1,21.354156504062622,6.469916761338934,1
133,2.0,1,3,5,11,0,4.28606624352797,-1.4271163556401458,2,302.83,1,11.661903789690601,1.8961194845522977,0
134,2.0,1,3,5,13,0,3.035914063186823,-2.8134107167600364,2,347.0,1,13.564659966250536,0.7178397931503168,0
136,2.0,1,3,5,16,0,4.118711918670395,-1.8388510767619055,2,386.67,1,16.46207763315433,1.7263316639055997,0
137,2.0,1,3,5,16,0,3.401863826205316,-2.5383074265151158,2,380.0,1,16.46207763315433,1.085189268335969,0
138,2.0,1,3,5,13,3,7.060648025085279,1.5686159179138452,2,242.75,1,13.892443989449804,4.660604892876192,1
139,2.0,1,3,5,16,3,5.3992480851264775,-0.5108256237659905,2,368.73,1,16.73320053068151,3.005682604407159,0
140,2.0,1,3,5,21,3,6.95211660268089,1.3862943611198906,2,261.34,1,21.563858652847824,4.553034431567563,1
141,2.0,1,3,5,22,3,5.404297690085269,-0.5108256237659909,2,370.6,1,22.538855339169288,2.999724294823529,0
143,2.0,1,3,5,2,0,3.3032169733019514,-2.8134107167600364,2,453.33,1,4.358898943540674,1.6351056591826783,2
144,2.0,1,3,5,13,0,5.355642433167306,-0.3285040669720361,2,294.17,1,13.564659966250536,3.6555811687124216,0
145,2.0,1,3,5,16,0,3.4255647381104497,-2.5383074265151158,2,389.11,1,16.46207763315433,1.7263316639055997,0
146,2.0,1,3,5,22,0,3.495294705041271,-2.5383074265151158,2,417.22,1,22.338307903688676,1.7783364488959144,0
147,2.0,1,3,5,13,3,5.805014479730247,0.26236426446749106,2,255.35,1,13.892443989449804,4.096841442420688,0
148,2.0,1,3,5,22,3,5.404297690085269,-0.5108256237659907,2,370.6,1,22.538855339169288,3.2627013044082305,0
151,2.0,1,3,5,13,0,6.9137870512138555,1.2296405510745139,2,294.17,1,13.564659966250536,5.437035285859859,1
152,2.0,1,3,5,22,0,4.881589066161162,-1.152013065395225,2,417.22,1,22.338307903688676,2.503891949699081,0
156,1.0,1,3,5,13,0,3.563882963939251,-2.120263536200091,10,294.17,1,13.45362404707371,1.169381359556317,0
157,2.0,1,1,3,11,0,3.9983841710761894,-1.7147984280919266,10,302.83,1,11.313708498984761,1.6074359097634274,0
158,2.0,1,1,3,13,0,4.134526351854933,-1.7147984280919266,10,347.0,1,13.2664991614216,1.8180767775454285,0
159,2.0,1,1,3,2,3,6.194323755119485,0.1823215567939546,10,408.3,1,4.47213595499958,3.8310298462186143,2
160,2.0,1,1,3,13,3,3.906206120106581,-1.6094379124341003,10,248.55,1,13.601470508735444,1.536867219599265,0
161,2.0,1,1,3,16,3,4.706100904566532,-1.2039728043259361,10,368.73,1,16.492422502470642,2.312535423847214,0
162,2.0,1,1,3,16,3,4.706100904566532,-1.2039728043259361,10,368.73,1,16.492422502470642,2.312535423847214,0
163,2.0,1,1,3,21,3,8.428023122490469,2.8622008809294686,10,261.34,1,21.37755832643195,6.028880748493404,1
164,2.0,1,1,3,13,0,4.645351975620923,-1.2039728043259361,0,347.0,1,13.2664991614216,3.0209125720842893,0
165,2.0,1,1,3,2,3,6.7051493788854755,0.6931471805599453,0,408.3,1,4.47213595499958,5.03500265054455,2
166,2.0,1,1,3,11,3,6.38856140554563,0.7419373447293773,0,283.33,1,11.704699910719626,4.690430029938915,0
167,2.0,1,1,3,13,3,7.769040571819563,2.2300144001592104,0,254.43,1,13.601470508735444,6.060314074988396,1
168,2.0,1,1,3,16,3,5.804713193234642,-0.10536051565782628,0,368.73,1,16.492422502470642,4.104294893075269,0
171,2.0,1,1,3,13,3,5.943901130176372,0.4054651081081644,10,254.28,1,13.601470508735444,4.458292990127331,0
198,1.0,1,1,3,13,0,3.7290612437467683,-2.120263536200091,3,347.0,1,13.152946437965905,1.5085119938441398,0
199,1.0,1,1,3,16,0,6.37000371727689,0.40879289820083897,3,388.08,1,16.1245154965971,4.21921354426797,0
200,1.0,1,1,3,16,3,7.526728331353945,1.5260563034950492,3,403.7,1,16.401219466856727,5.502359644559846,1
201,1.0,1,1,3,21,3,8.586247127705363,3.0204248861443626,3,261.34,1,21.307275752662516,6.8173490551061215,1
210,1.0,1,1,3,11,0,4.28606624352797,-1.4271163556401458,3,302.83,1,11.180339887498949,2.589266665112243,0
211,1.0,1,1,3,13,0,4.422208424306714,-1.4271163556401458,3,347.0,1,13.152946437965905,2.797281334830153,0
212,1.0,1,1,3,21,0,6.425517112068059,0.7701082216960737,3,285.83,1,21.095023109728988,4.665606554791922,0
213,1.0,1,1,3,22,0,5.797879798035317,-0.23319388716771114,3,416.16,1,22.090722034374522,3.9891692146048,0
214,2.0,1,1,13,11,0,6.598917664457565,0.7419373447293773,10,349.67,1,11.313708498984761,5.149295180155008,1
215,2.0,1,1,13,11,0,5.202356975402125,-0.5108256237659907,10,302.83,1,11.313708498984761,3.72834052299485,0
216,2.0,1,1,13,13,0,5.338499156180869,-0.5108256237659907,10,347.0,1,13.2664991614216,3.9373008126124147,0
217,2.0,1,1,13,13,3,10.185797722119506,4.642465970731788,10,255.53,1,13.601470508735444,8.700649104584656,1
218,2.0,1,1,13,21,3,9.079228906108467,3.4657359027997265,10,274.1,1,21.37755832643195,7.601102439544749,1
219,2.0,1,3,5,13,0,3.9693480720474157,-1.7147984280919266,5,294.17,1,13.564659966250536,2.0769384114617173,0
224,0.0,1,3,5,13,0,4.134366236571586,-1.7147984280919266,1,346.94,1,13.416407864998739,2.9564715596006885,0
225,0.0,1,3,5,13,0,6.202920058627001,0.5187937934151675,1,294.16,1,13.416407864998739,4.9684929838982885,0
226,0.0,1,3,5,17,0,5.346392989779599,-0.05024121643674679,1,220.66,1,17.320508075688775,4.2937417198063095,0
227,0.0,1,3,5,17,0,5.346392989779599,-0.05024121643674679,1,220.66,1,17.320508075688775,4.29346860769209,0
237,2.0,1,1,3,2,0,4.912654885736052,-1.2039728043259361,4,453.33,1,3.3166247903554,2.552565298261815,2
238,2.0,1,1,3,2,0,3.2120525995200753,-2.8134107167600364,4,413.83,1,3.3166247903554,0.8458682675776092,2
239,2.0,1,1,3,11,0,2.89977188240808,-2.8134107167600364,4,302.83,1,11.313708498984761,0.5068176023684519,0
240,2.0,1,1,3,16,0,3.4255647381104497,-2.5383074265151158,4,389.11,1,16.217274740226856,1.0331844833456545,0
241,2.0,1,1,3,11,3,6.692046520970243,0.7884573603642703,4,366.35,1,11.704699910719626,4.132442850820759,0
242,2.0,1,1,3,13,3,8.233434080744528,2.6946271807700692,4,254.37,1,13.601470508735444,5.561834812000519,1
248,1.0,1,3,5,13,0,5.7439642642890325,-0.10536051565782628,0,347.0,1,13.45362404707371,3.4258899942525267,0
252,2.0,1,3,5,11,0,3.6788291182604347,-2.120263536200091,9,330.0,1,11.661903789690601,1.766441661243765,0
253,2.0,1,3,5,11,0,3.6727500721840527,-2.120263536200091,9,328.0,1,11.661903789690601,1.7595805708638197,0
254,2.0,1,3,5,11,0,4.142181891636261,-1.7147984280919266,9,349.67,1,11.661903789690601,2.1815467646169897,0
255,2.0,1,3,5,16,0,4.8118590992303405,-1.1488535051048565,9,387.89,1,16.46207763315433,2.8243506567983707,0
256,2.0,1,3,5,11,3,7.002201449274082,1.0986122886681098,9,366.35,1,12.041594578792296,5.048829839894225,0
257,2.0,1,3,5,13,3,8.56425996664177,3.0252910757955354,9,254.42,1,13.892443989449804,6.56783911885836,1
263,2.0,1,0,0,2,0,4.401829261970061,-1.7147984280919266,5,453.33,1,3.1622776601683795,2.9575110607337933,2
264,2.0,1,0,0,16,0,5.371474887165763,-0.5905905922348533,5,388.41,1,16.186414056238647,3.8948768465931756,0
265,2.0,1,0,0,16,0,4.118711918670395,-1.8451602459551701,5,389.11,1,16.186414056238647,2.641910398597665,0
266,2.0,1,0,0,11,3,5.507767590730244,-0.2231435513142097,5,308.25,1,11.661903789690601,4.0402403032289,0
267,2.0,1,0,0,13,3,6.3911127698945815,0.8754687373538999,5,248.55,1,13.564659966250536,4.938136283280016,1
268,2.0,1,0,0,13,3,6.924730383188098,1.3862943611198906,5,254.28,1,13.564659966250536,5.439078809256279,1
284,2.0,1,1,3,11,0,2.89977188240808,-2.8134107167600364,5,302.83,1,11.313708498984761,0.9122827104766164,0
285,2.0,1,1,3,13,0,3.7290612437467683,-2.120263536200091,5,347.0,1,13.2664991614216,1.8164520818184267,0
286,2.0,1,1,3,13,0,4.480173695813406,-1.2039728043259361,5,294.17,1,13.2664991614216,2.492378664626701,0
287,2.0,1,1,3,13,3,5.0689042022202315,-0.5108256237659907,5,265.0,1,13.601470508735444,3.0763901765714454,0
289,2.0,1,3,5,13,0,3.9693480720474157,-1.7147984280919266,7,294.17,1,13.564659966250536,1.9810014688665833,0
291,0.0,1,4,8,13,0,3.7367167835280966,-1.8451602459551701,1,265.57,1,13.674794331177344,1.33500106673234,0
300,2.0,1,2,12,11,0,5.306880597208525,-0.5905905922348533,6,364.12,1,11.445523142259598,3.7591048990034333,0
301,2.0,1,2,12,11,0,6.444751096356646,0.62057648772511,6,338.38,1,11.445523142259598,5.074360984976801,0
302,2.0,1,2,12,13,0,7.146787927360134,1.3297240096314962,6,335.98,1,13.379088160259652,5.791182664937034,1
303,2.0,1,2,12,13,0,5.915231241108393,0.23111172096338664,6,294.16,1,13.379088160259652,4.397407736712184,0
304,2.0,1,2,12,15,0,5.5920684850262,-0.3410828491788962,6,377.34,1,15.329709716755891,4.202750436065887,0
305,2.0,1,2,12,16,0,3.7367167835280966,-1.439695137847006,6,177.05,1,16.30950643030009,2.362739015813793,0
306,2.0,1,2,12,16,0,4.34536265030229,-1.8451602459551701,6,488.1,1,16.30950643030009,3.0007198150650303,0
307,2.0,1,2,12,16,0,5.820854146242039,-0.13926206733350752,6,387.66,1,16.30950643030009,4.373238128640803,0
308,2.0,1,2,12,16,0,6.537358042134466,0.640273690952877,6,363.97,1,16.30950643030009,5.206092422505519,0
309,2.0,1,2,12,16,0,3.574870537502069,-2.5383074265151158,6,451.77,1,16.30950643030009,2.214846178686039,0
310,2.0,1,2,12,17,0,6.427782118698912,1.1474024528375417,6,196.44,1,17.291616465790582,5.126520233210295,0
311,2.0,1,2,12,22,0,5.797879798035317,-0.23572233352106997,6,417.22,1,22.22611077089287,4.420044701861403,0
312,2.0,1,2,12,11,3,6.085910717399927,0.1823215567939546,6,366.35,1,11.832159566199232,4.3511807545027805,0
313,2.0,1,2,12,11,3,9.168689909370995,3.4995332823830174,6,289.79,1,11.832159566199232,7.810745955936568,1
314,2.0,1,2,12,16,3,6.876140765212795,1.1631508098056809,6,302.77,1,16.583123951777,5.520380334242002,0
315,2.0,1,2,12,20,3,8.494603965157042,2.6100697927420065,6,359.44,1,20.46948949045872,7.129642040867262,1
316,2.0,1,2,12,21,3,10.864139608109037,5.298317366548036,6,261.34,1,21.447610589527216,9.484568595917937,1
317,2.0,1,2,12,22,3,6.097444870645214,0.1823215567939546,6,370.6,1,22.427661492005804,4.722063937459591,0
318,2.0,1,2,12,16,4,8.373692267754224,2.401525040848949,6,392.36,1,16.792855623746664,7.012547633266854,1
319,2.0,1,2,12,16,4,7.99799931797973,2.030776369698555,6,390.42,1,16.792855623746664,6.636851657769174,1
321,0.0,1,3,5,13,2,8.732212631322986,2.9461217730006566,1,325.74,0,13.527749258468683,6.836892803731878,2
322,0.0,1,3,5,13,0,7.147394033305539,1.463255402256019,1,294.16,1,13.416407864998739,5.263208189434469,0
323,2.0,1,1,13,16,0,4.1420229975388425,-1.439695137847006,6,265.53,1,16.217274740226856,1.7387102481382397,0
326,2.0,1,1,13,16,0,4.500476114873425,-1.439695137847006,6,380.0,1,16.217274740226856,2.1838015570040787,0
327,2.0,1,1,13,13,3,8.524395194618974,2.9856819377004897,6,254.35,1,13.601470508735444,5.984314043079141,1
328,2.0,1,1,13,16,3,6.785542446246368,0.8754687373538995,6,368.73,1,16.492422502470642,4.663910681010692,0
333,2.0,1,0,1,2,0,3.3032169733019514,-2.8134107167600364,7,453.33,1,3.1622776601683795,1.6351056591826783,2
334,2.0,1,0,1,11,0,4.409641801706855,-1.4271163556401458,7,342.67,1,11.269427669584644,2.747270914255491,0
335,2.0,1,0,1,11,0,5.123011144647987,-0.7339691750802004,7,349.67,1,11.269427669584644,3.4506222649896783,0
336,2.0,1,0,1,11,0,5.38467853219608,-0.3285040669720361,7,302.83,1,11.269427669584644,3.687878953780353,0
337,2.0,1,0,1,11,0,5.508254090374964,-0.32850406697203577,7,342.67,1,11.269427669584644,3.846096855311979,0
338,2.0,1,0,1,13,0,6.0804365009102455,0.23111172096338664,7,347.0,1,13.228756555322953,4.301629697601853,0
339,2.0,1,0,1,13,0,5.995406766340605,0.3220834991691132,7,291.0,1,13.228756555322953,4.18418526622189,0
340,2.0,1,0,1,13,0,4.480173695813406,-1.2039728043259361,7,294.17,1,13.228756555322953,2.7788192719904172,0
341,2.0,1,0,1,16,0,4.8118590992303405,-1.1488535051048565,7,387.89,1,16.186414056238647,2.8243506567983707,0
342,2.0,1,0,1,16,0,3.7367167835280966,-1.439695137847006,7,177.05,1,16.186414056238647,2.0268315914075385,0
343,2.0,1,0,1,16,0,6.13361493921266,0.17058630057553367,7,388.79,1,16.186414056238647,4.365261888341151,0
344,2.0,1,0,1,16,0,5.728149831104496,-0.23572233352106983,7,389.11,1,16.186414056238647,4.028916756899646,0
345,2.0,1,0,1,16,0,5.0323967858777685,-0.9288695140810151,7,388.1,1,16.186414056238647,3.3446270301737613,0
347,2.0,1,0,1,18,0,6.041206639002796,0.1823215567939546,7,350.33,1,18.16590212458495,4.169761201506855,0
348,2.0,1,0,1,20,0,6.47041243197595,0.44468582126144574,7,413.94,1,20.149441679609886,4.779795536147575,0
349,2.0,1,0,1,22,0,5.2870036066477635,-0.7444404749474959,7,416.32,1,22.135943621178654,3.3877743613300146,0
350,2.0,1,0,1,11,3,4.294151248171873,-0.916290731874155,7,183.18,1,11.661903789690601,2.6282852326333477,0
351,2.0,1,0,1,11,3,6.519368502408724,0.7884573603642703,7,308.25,1,11.661903789690601,4.828873580560815,1
352,2.0,1,0,1,13,3,8.796532560089691,3.258096538021482,7,254.28,1,13.564659966250536,6.965127558840007,1
353,2.0,1,0,1,16,3,5.447082139813149,-0.5108256237659907,7,386.8,1,16.46207763315433,3.751149779840061,0
354,2.0,1,0,1,18,3,7.896664302558284,2.1972245773362196,7,298.7,1,18.411952639521967,5.771659167892354,1
355,2.0,1,0,1,20,3,6.235821494821389,0.3364722366212129,7,364.8,1,20.37154878746336,4.534425781462334,1
356,2.0,1,0,0,0,0,3.5380565643793527,-2.8134107167600364,10,573.33,1,2.449489742783178,-0.527632742082372,2
357,2.0,1,0,0,2,0,3.996364153861897,-2.120263536200091,10,453.33,1,3.1622776601683795,0.6931471805599453,2
358,2.0,1,0,0,11,0,3.043569602968151,-2.8134107167600364,10,349.67,1,11.269427669584644,-0.527632742082372,0
359,2.0,1,0,0,11,0,4.28606624352797,-1.4271163556401458,10,302.83,1,11.269427669584644,0.6931471805599453,0
360,2.0,1,0,0,13,0,4.422208424306714,-1.4271163556401458,10,347.0,1,13.228756555322953,1.415853163361435,0
361,2.0,1,0,0,13,0,7.33663738968811,1.6524974018945477,10,294.16,1,13.228756555322953,4.189957726425047,1
362,2.0,1,0,0,14,0,3.1990811975400213,-2.5383074265151158,10,310.25,1,14.212670403551895,-0.8915981192837836,0
363,2.0,1,0,0,16,0,4.8118590992303405,-1.152013065395225,10,389.11,1,16.186414056238647,1.4539530095937054,0
364,2.0,1,0,0,16,0,4.118711918670395,-1.8451602459551701,10,389.11,1,16.186414056238647,0.7608058290337602,0
365,2.0,1,0,0,16,0,4.095011006765261,-1.8451602459551701,10,380.0,1,16.186414056238647,0.8153648132841944,0
366,2.0,1,0,0,21,0,5.406902676961478,-0.2484613592984996,10,285.82,1,21.142374511865974,2.2364452904895007,0
368,2.0,1,0,0,13,3,8.922826285413983,3.3843902633457743,10,254.28,1,13.564659966250536,5.888323788188469,1
369,2.0,1,0,0,16,3,4.348469851145039,-1.6094379124341003,10,386.8,1,16.46207763315433,1.1151415906193203,0
370,2.0,1,0,0,21,3,9.015809787392588,3.5115454388310208,10,245.74,1,21.354156504062622,6.054720996742997,1
371,1.0,1,0,0,2,0,3.2950958507796098,-2.8134107167600364,0,449.67,1,2.6457513110645907,2.4501426573516603,2
374,1.0,1,0,0,11,0,3.99838417107619,-1.7147984280919266,0,302.83,1,11.135528725660043,3.3134584673541485,0
376,1.0,1,0,0,16,0,5.03500265054455,-0.9288695140810151,0,389.11,1,16.09347693943108,4.2514907510291575,0
377,1.0,1,0,0,16,0,5.03500265054455,-0.9288695140810151,0,389.11,1,16.09347693943108,4.245347435758628,0
378,1.0,1,0,0,16,0,3.422958873443668,-2.5383074265151158,0,388.1,1,16.09347693943108,2.6354795082673745,0
379,1.0,1,0,0,16,0,3.401863826205316,-2.5383074265151158,0,380.0,1,16.09347693943108,2.67552700939665,0
381,1.0,1,0,0,22,0,3.495294705041271,-2.5383074265151158,0,417.22,1,22.06807649071391,1.8261608959453874,0
382,1.0,1,0,0,21,3,7.60576561520807,2.0149030205422647,0,267.97,1,21.283796653792763,6.836044431428137,1
383,2.0,1,0,0,13,3,7.042513418844482,1.5040773967762742,10,254.28,1,13.564659966250536,4.736022994406854,1
384,2.0,1,0,0,21,3,7.069899638337274,1.5040773967762742,10,261.34,1,21.354156504062622,4.7660127111049215,1
385,1.0,1,0,0,0,0,4.924350925499243,-1.4271163556401458,2,573.33,1,1.7320508075688772,3.707701208354524,2
386,1.0,1,0,0,11,0,5.29766715520645,-0.4155154439616658,2,302.83,1,11.135528725660043,4.038831852291842,0
387,1.0,1,0,0,13,0,4.827673532414877,-1.0216512475319814,2,347.0,1,13.114877048604,3.6417878465800855,0
388,1.0,1,0,0,13,0,4.246063716857944,-1.4271163556401458,2,290.96,1,13.114877048604,2.725890119230541,0
389,1.0,1,0,0,13,0,6.304722987864452,0.62057648772511,2,294.17,1,13.114877048604,4.866995843894645,0
390,1.0,1,0,0,16,0,4.989479752023464,-0.5923972774598024,2,265.57,1,16.09347693943108,3.717466910965849,0
391,1.0,1,0,0,16,0,3.4255647381104497,-2.5383074265151158,2,389.11,1,16.09347693943108,2.1644717908644115,0
392,1.0,1,0,0,16,0,4.118711918670395,-1.8451602459551701,2,389.11,1,16.09347693943108,2.857618971424357,0
393,1.0,1,0,0,13,3,8.870640532243412,3.332204510175204,2,254.28,1,13.45362404707371,7.545035564274037,1
394,2.0,1,0,0,2,0,3.3032169733019514,-2.8134107167600364,5,453.33,1,3.1622776601683795,1.8885836538635947,2
395,2.0,1,0,0,2,0,4.393708139447719,-1.7147984280919266,5,449.67,1,3.1622776601683795,2.9806186357439426,2
396,2.0,1,0,0,11,0,4.691531351636135,-1.0216512475319814,5,302.83,1,11.269427669584644,3.2363227384719213,0
398,2.0,1,0,0,16,0,5.877455630496114,-0.23572233352106983,5,451.77,1,16.186414056238647,4.475061500641071,0
399,2.0,1,0,0,16,0,4.116106054003613,-1.8451602459551701,5,388.1,1,16.186414056238647,2.731115474033206,0
400,2.0,1,0,0,16,0,5.4813053678851515,-0.4588658848352796,5,380.0,1,16.186414056238647,4.161691635681711,0
401,2.0,1,0,0,22,0,6.43971771576136,0.4074631107708375,5,416.65,1,22.135943621178654,5.2526921885217615,0
402,2.0,1,0,0,13,3,8.48287500123465,2.9444389791664403,5,254.28,1,13.564659966250536,6.974665984264764,1
403,2.0,1,0,0,16,3,7.478689626806314,1.5686159179138452,5,368.73,1,16.46207763315433,6.082036245292369,1
404,2.0,1,0,0,16,3,7.650539883732972,1.7404661748405041,5,368.73,1,16.46207763315433,6.253886502219028,1
405,2.0,1,3,5,13,0,2.8701690505786455,-2.8134107167600364,3,294.0,1,13.564659966250536,1.9878743481543455,0
406,2.0,1,3,5,17,0,7.985589865122688,2.5879895737017686,3,220.88,1,17.435595774162696,6.895034714572756,1
407,2.0,1,3,5,17,0,3.971234865059992,-1.3093333199837622,3,196.48,1,17.435595774162696,2.804571768092832,0
414,1.0,1,2,4,0,0,3.5380565643793527,-2.8134107167600364,2,573.33,1,2.6457513110645907,2.1065702090680887,2
415,1.0,1,2,4,11,0,4.6137334166485795,-1.439695137847006,2,425.57,1,11.313708498984761,3.1346242724206097,0
416,1.0,1,2,4,11,0,2.89977188240808,-2.8134107167600364,2,302.83,1,11.313708498984761,1.2029723039923526,0
417,1.0,1,2,4,13,0,6.213967893534768,0.36464311358790924,2,347.0,1,13.2664991614216,4.355810987855469,0
418,1.0,1,2,4,13,0,5.162440367996683,-0.5108256237659907,2,290.98,1,13.2664991614216,3.3857452771032337,0
420,1.0,1,2,4,16,0,5.62278931544667,-0.3410828491788962,2,389.11,1,16.217274740226856,4.145987795373939,0
421,1.0,1,2,4,16,0,5.03500265054455,-0.9288695140810151,2,389.11,1,16.217274740226856,3.55820113047182,0
422,1.0,1,2,4,16,0,6.2350771702615315,0.29565024210095786,2,379.72,1,16.217274740226856,4.77423762710363,0
423,1.0,1,2,4,17,0,3.5655812377694427,-1.7147984280919266,2,196.44,1,17.204650534085253,2.151762203259462,0
